ID,Title,Client,Source,Status,Geography,Domains,Date Posted,Date Found,Deadline,AI Summary,Description,Notes,Dismissal Reason,Tier,Language,Original URL,Source Listing URL
4yw5D9DRSOj6t7USMWk1,External Financial Audit Services,Ahlam Lajea Association,Darpe,Dismissed,"Lebanon, Lebanese","humanitarian, accountability",2026-06-28,2026-06-29,2026-06-30,"Ahlam Lajea Association is soliciting bids for external financial audit services. The tender is open until June 30, 2026, and is related to humanitarian aid and accounting/auditing operations within Lebanon.","Ahlam Lajea Association is seeking tenders for external financial audit services. The deadline for this tender is June 30, 2026, and it pertains to humanitarian aid and accounting/auditing in Lebanon.",,Wrong sector / domain,2,en,https://darpe.me/darpe-entries/external-financial-audit-services/,https://darpe.me/tenders-and-grants/
SPePVsyzp0Hc9nv0FlG5,Non-Assurance Financial Services for UNRWA Microfinance Department,UNRWA,Darpe,Dismissed,"Lebanon, Syrian","livelihoods, economic recovery",2026-06-24,2026-06-29,2026-07-14,"UNRWA is seeking non-assurance financial services for its Microfinance Department. This tender is open to organizations operating in Jordan, Lebanon, Palestine, and Syria, with a submission deadline of July 14, 2026.","This tender is for non-assurance financial services for the UNRWA Microfinance Department. The opportunity is available in Jordan, Lebanon, Palestine, and Syria, with a deadline of July 14, 2026.",,Wrong sector / domain,2,en,https://darpe.me/darpe-entries/non-assurance-financial-services-for-unrwa-microfinance-department/,https://darpe.me/tenders-and-grants/
4gpWjQCH6KckkMjjV4us,Provision of Consultancy Services for Establishment of Climate Information System,FAO,Darpe,Dismissed,Yemen,"climate, climate change, digital, technology, data, infrastructure",2026-06-29,2026-06-29,2026-07-12,"FAO is seeking consultancy services to establish a climate information system. The tender, open until July 12, 2026, specifically targets climate change and ICT solutions within Yemen.","FAO is seeking consultancy services for the establishment of a climate information system. This tender is open until July 12, 2026, and focuses on climate change and ICT solutions in Yemen.",,Wrong sector / domain,2,en,https://darpe.me/darpe-entries/provision-of-consultancy-services-for-establishment-of-climate-information-system/,https://darpe.me/tenders-and-grants/
W1G4wAn4sNVOrqze7UW8,Consultancy to lead the Partner Satisfaction Survey and Global Partner Group Survey process,NPO,Development Aid,Dismissed,,"survey, Surveys, Data Collection, Quantitative and Qualitative Methods, Quantitative, Qualitative, Methodology",,2026-06-29,2026-08-16,"This is a consultancy opportunity to lead the Partner Satisfaction Survey and the Global Partner Group Survey process. The tender is open for worldwide participation, indicating a global scope for the consultancy services.",This is a consultancy opportunity to lead the Partner Satisfaction Survey and the Global Partner Group Survey process. The tender is open for worldwide participation.,,Wrong sector / domain,2,en,https://www.developmentaid.org/tenders/view/1672904/consultancy-to-lead-the-partner-satisfaction-survey-and-global-partner-group-survey-process,https://www.developmentaid.org/tenders/search
JrW3Fcvnl9yvm3RFelnG,"Rehabilitation of Health Centers in: Lot 1: Rehabilitation of Al-Kasr National Hospital, in Deir Ez-Zor Governorate",,Syria Tenders,Dismissed,Syria,"infrastructure, humanitarian",,2026-06-29,2026-07-09,"This tender seeks proposals for the rehabilitation of Al-Kasr National Hospital in Deir Ez-Zor governorate as part of a larger health center rehabilitation project. The deadline for submissions is July 9, 2026.","This tender is for Lot 1 of the rehabilitation of health centers, specifically the Al-Kasr national hospital in Deir Ez-Zor governorate. The deadline is July 9, 2026.",,Grant / Goods,2,ar,https://www.syriatenders.com/tender/rehabilitation-health-centers-lot-1-rehabilitation-al-kasr-national-hospital-deir-ez-zor-gover-8977421.php,https://www.syriatenders.com/tenders.php
Btx7BkqgkBSWZ2DbQ6ko,Rehabilitation and Construction of Three Water Station in Deir Ezzor,,Syria Tenders,Dismissed,Syria,"infrastructure, WASH",,2026-06-29,2026-07-07,"This tender seeks proposals for the rehabilitation and construction of three water stations in Deir Ezzor. The project aims to improve water infrastructure in the specified location. The submission deadline is July 7, 2026.","This tender seeks proposals for the rehabilitation and construction of three water stations in Deir Ezzor. The project aims to improve water infrastructure in the specified location. The submission deadline is July 7, 2026.",,Grant / Goods,2,ar,https://www.syriatenders.com/tender/rehabilitation-and-construction-three-water-station-deir-ezzor-8979724.php,https://www.syriatenders.com/tenders.php
OXt5heeKxizcErnAgwyz,UKRC003649 Purchase of Construction works / Announcement UKRC003649 Procurement of Construction Works,Філія компанії «Людина в біді» (Člověk v tísni) в Україні,Zakupivli,Dismissed,Ukraine,"infrastructure, Shelter",2026-06-27,2026-06-28,2026-07-09,"This tender is for the purchase of construction works in Ukraine, posted by the ""People in Need"" organization. The expected cost for this procurement is 3,768,364.37 UAH.","Purchase of Construction works. The tender is posted by the branch of ""People in Need"" (Člověk v tísni) in Ukraine. The expected cost is 3,768,364.37 UAH.",,Wrong sector / domain,2,uk,https://zakupivli.pro/commercial/tenders/r-ua-2026-06-27-1000007-k,https://zakupivli.pro/commercial/tenders
7AIhampWAXnkMpEjMIEq,UNDP-UKR-01701 - LTA for the Provision of Services of Technical and Support Personnel - UNDP - UKRAINE,UNDP,UNDP Procurement,Dismissed,"Ukraine, Ukrainian","capacity building, training, governance, development, humanitarian",,2026-06-27,2026-07-09,"This is an Invitation to Bid (ITB) from the United Nations Development Programme (UNDP) for a Long-Term Agreement (LTA) to provide technical and support personnel services for project implementation in Ukraine. The procurement aims to secure services to facilitate UNDP projects, with the outcome being an LTA. Bids must be submitted through the UNDP supplier portal.","Title: Procurement Notices - UNDP-UKR-01701 - LTA for the Provision of Services of Technical and Support Personnel URL Source: Markdown Content: ![Image 1: UNDP Logo]( ""UNDP Logo homepage link"") GLOBALProcurement Notices !Image 2: back button Back Procurement at UNDP !Image 3: back button Back Select Language LTA for the Provision of Services of Technical and Support Personnel ITB - Invitation to bid UNDP-UKR - UKRAINE 09-Jul-26 @ 10:00 AM (New York time) 16-Jun-26 @ 12:00 AM (New York time) Procurement Unit - procurement.ua@undp.org If you already have a supplier profile, please access the negotiation using quicklink or please login to the Supplier Portal, then search for the negotiation using the reference number UNDP-UKR-01701, following the instructions in the user guide. The United Nations Development Programme (UNDP) hereby invites you to submit your bid to this Invitation to Bid (ITB)UNDP-UKR-01700 for the Provision of Services of Technical and Support Personnel to facilitate th",,Wrong sector / domain,1,en,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=46668,https://procurement-notices.undp.org
09tN4ScFrc9dYr1GVh9R,UNDP-UKR-01706 - 218_Improving the provision and delivery of primary health care services - UNDP - UKRAINE,UNDP,UNDP Procurement,Dismissed,"Ukraine, Ukrainian","humanitarian, health, Conflict-affected communities, Capacity building, Data Collection, Methodology, Quantitative and Qualitative Methods, Quantitative, Qualitative, Development",,2026-06-27,2026-07-20,"The United Nations Development Programme (UNDP) is seeking proposals to improve the provision and delivery of primary health care services at the community level in Ukraine. This is a Request for Proposal (RFP) for service procurement, with a deadline for submissions on July 20, 2026. The tender is relevant as it involves service delivery in a conflict-affected region and aligns with humanitarian and health domains.","Title: Procurement Notices - UNDP-UKR-01706 - 218Improving the provision and delivery of primary health care services URL Source: Markdown Content: ![Image 1: UNDP Logo]( ""UNDP Logo homepage link"") GLOBALProcurement Notices !Image 2: back button Back Procurement at UNDP !Image 3: back button Back Select Language 218Improving the provision and delivery of primary health care services RFP - Request for proposal UNDP-UKR - UKRAINE 20-Jul-26 @ 10:00 AM (New York time) 26-Jun-26 @ 12:00 AM (New York time) UNDP Procurement Unit - procurement.dg.ua@undp.org If you already have a supplier profile, please access the negotiation using quicklink or please login to the Supplier Portal, then search for the negotiation using the reference number UNDP-UKR-01706, following the instructions in the user guide. Subject:Tender UNDP-UKR-01706:Improving the provision and delivery of primary health care services at the community level. The United Nations Development Programme(UNDP) hereby invites you to subm",,Wrong sector / domain,1,en,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=46994,https://procurement-notices.undp.org
VQRJmJyn3RusWKLzfVsv,Selection of communities for a project to promote open interaction and women's leadership,ALDA – European Association of Local Democracy,Prostir.UA,Dismissed,"Ukraine, Ukrainian","governance, capacity building, training, gender, community perception",2026-06-26,2026-06-27,2026-07-15,"This is a call for applications from ALDA and the ""U-LEAD with Europe"" Program for Ukrainian territorial communities to participate in a project focused on empowering local authorities and citizens. The project aims to enhance inclusive governance, promote women's leadership, and strengthen citizen participation in recovery processes. Selected communities will receive training, expert support, and opportunities for collaboration to improve local democracy and governance practices.","ALDA – European Association of Local Democracy, with the support of the ""U-LEAD with Europe"" Program, announces a competitive selection of territorial communities to participate in the project ""Empowering local authorities and citizens to promote open interaction and women's leadership"". The project aims to promote inclusive and participatory local governance by empowering women leaders and encouraging citizen participation in recovery processes. Special attention within the project will be paid to the implementation of modern mechanisms for citizen participation in local self-government and the development or updating of Territorial Community Charters in accordance with the Law of Ukraine ""On People's Power at the Local Self-Government Level"", which will contribute to increasing the transparency, openness, and accountability of local authorities. The project will also support the development of women's leadership, inter-sectoral cooperation, and the implementation of local community i",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=vidbir-hromad-u-proekt-zi-spryyannya-vidkrytij-vzajemodiji-ta-zhinochomu-liderstvu,https://www.prostir.ua/category/jobs/
